,小区名,所属区,街道,起步价格,户型,面积,特点,电话
0,中建御湖澜庭,浦东,竹柏路与沪城环路交叉口,33000,二居/三居,74~115平米,待售       普通住宅 板楼 品牌地产 低总价,4001533150
1,汤臣一品,浦东,花园石桥路28弄,16000,五居以上,597平米,在售       大平层 塔楼 品牌地产 现房,400-176-0760 转 655411
2,龙光天曜,浦东,申港大道与方竹路交汇处(建桥学院北侧...,32944,三居/四居,85~133平米,待售       普通住宅 叠拼 品牌地产,4001533136
3,融创未来金融城,浦东,创新中路,68000,三居/四居,90~148平米,待售       普通住宅 板楼 品牌地产 国际化社区,4001534125
4,中建·玖里书香,浦东,东大公路与崇实路交汇处,28690,三居/四居/五居,86~150平米,在售       普通住宅 叠拼 品牌地产 豪华居住区,4001533791
5,保利云上拾光,浦东,南六公路与宝溪路交叉口,45000,二居/三居/四居,75~125平米,在售       普通住宅 叠拼,400-176-0760 转 621781
6,海上溪云,浦东,秀沿路与浦三路交汇处,67725,,,待售       合院 洋房,400-176-0760 转 622615
7,远洋红星·临港天铂,浦东,临港大道麦冬路路口,33000,三居/四居,90~130平米,待售       普通住宅 洋房,400-176-0760 转 620572
8,特发学府里,浦东,申港大道北侧与沪城环路西侧的交界处,32118,二居/三居/四居,76~115平米,在售       普通住宅 板楼 品牌地产 低密居所,4001891560
9,中建玖海云天,浦东,海港大道与美人蕉路交叉口,价格待定,三居/四居,93~143平米,待售       普通住宅 板楼 品牌地产,4001534716
10,绿都绣云里商业,浦东,南六公路崇溪路路口东侧,44848,,,在售       旅游商铺 购物中心 文旅地产 复合地产,400-176-0760 转 842776
11,江南院,浦东,三三公路和祥凯路以南400米,价格待定,,,待售       联排 普通住宅 中式地产,400-176-0760 转 887930
12,浦东·紫薇花园,浦东,行南路359号(近张杨北路),67600,一居/二居/三居/四居,64~146平米,待售       普通住宅 板楼 品牌地产,400-176-0760 转 626567
13,华侨城纯水岸,浦东,德淳路100弄,70620,三居/四居,98~150平米,待售       普通住宅 板楼,
14,滨江一品苑,浦东,浦逸路188号(近浦润路),112000,三居/四居/五居,137~234平米,在售       大平层 板楼 品牌地产 地铁沿线,400-176-0760 转 836969
15,悦达·悦珑湾,浦东,16号线临港大道站南200米,33000,一居/二居/三居,53~91平米,待售       普通住宅 板楼 地铁沿线,400-176-0760 转 621663
16,浦开仁恒·金桥世纪,浦东,申轮路188弄22号,70227,三居/四居,100~150平米,待售       普通住宅 板楼 品牌地产 国际化社区,400-176-0760 转 626762
17,金鼎·首府,浦东,轲桥路101弄,价格待定,,,待售       洋房 板楼 品牌地产 国际化社区,400-176-0760 转 618090
18,亲水湾朗廷,浦东,康桥路1485号,64350,三居,103平米,待售       普通住宅 板楼,400-176-0760 转 630196
19,滨江凯旋门,浦东,浦明路688弄(复兴东路、世博大道交...,价格待定,,,待售       普通住宅 大平层 品牌地产 地铁沿线,400-176-0760 转 672931
