,小区名,性质,所属区,所属镇,街道,户型,面积,价格,特点
0,保利云上拾光,住宅,浦东,川沙,宝溪路18弄、66弄,"
                                                    ",75-99㎡,45000,"低总价,环线房,小户型,低密居所"
1,中建·玖里书香,住宅,浦东,书院镇, 浦东东大公路与崇实路交汇处,"
                                                    ",60-99㎡,28690,"低单价,低总价,小户型,低密居所"
2,红星临港天铂,住宅,浦东,临港新城,麦冬路与临港大道交叉口,"
                                                    ",90-130㎡,33000,"低总价,环线房,低密居所,绿化率高"
3,佩玛山丘,住宅,浦东,曹路,民雪路108弄,"
                                                    ",41-82㎡,88000,"低总价,环线房,近主干道,成熟商圈"
4,前滩新天地,商业,浦东,杨思前滩,海阳路693号,"
                        
                    ",未知,100000,"公交直达,环线房,配套齐全,购物方便"
5,同润蓝美俊庭,住宅,浦东,大团镇,大团镇南芦公路989弄,"
                                                    ",88-134㎡,28000,"低单价,低总价,公交直达,环线房"
6,华洲君庭,别墅,浦东,张江,银柳路385弄,"
                                                    ",1350㎡,450000,"环线房,配套齐全,购物方便,医疗配套"
7,同润蓝美俊庭,别墅,浦东,大团镇,大团镇南芦公路989弄,"
                                                    ",150-160㎡,38000,"低总价,公交直达,多轨交汇,配套齐全"
8,东郊壹号,别墅,浦东,张江,银柳路58弄,"
                                                    ",587㎡,380000,"地铁沿线,公交直达,配套齐全,购物方便"
9,同润金色橘苑,住宅,浦东,万祥镇,严木桥路198弄,"
                                                    ",78-92㎡,33000,"低总价,公交直达,环线房,购物方便"
